,YEAR,LocationDesc,TopicDesc,MeasureDesc,Response,Data_Value,Sample_Size,Gender,Race,Age
0,2019,National Median (States and DC),Cessation (Adults),Percent of Former Smokers Among Ever Smokers,,60.8,,Overall,All Races,All Ages
1,2019,New Hampshire,Cigarette Use (Adults),Smoking Frequency,Every Day,76.3,357,Female,All Races,All Ages
2,2019,Florida,Cigarette Use (Adults),Current Smoking,,14.8,15824,Overall,All Races,All Ages
3,2019,Hawaii,Smokeless Tobacco Use (Adults),Current Use,,2.1,459,Overall,All Races,18 to 24 Years
4,2019,Alabama,Smokeless Tobacco Use (Adults),User Status,Not Current,88.6,2729,Male,All Races,All Ages
5,2019,New Hampshire,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,55.2,82,Overall,All Races,All Ages
6,2019,South Carolina,Cigarette Use (Adults),Smoking Status,Current,15.8,3761,Female,All Races,All Ages
7,2019,Kentucky,Smokeless Tobacco Use (Adults),Current Use,,7.8,629,Overall,All Races,Age 20 and Older
8,2019,Michigan,Cigarette Use (Adults),Smoking Status,Current,17.2,5662,Female,All Races,All Ages
9,2019,Illinois,Smokeless Tobacco Use (Adults),Current Use,,2.8,1882,Overall,All Races,45 to 64 Years
10,2019,Pennsylvania,Smokeless Tobacco Use (Adults),Current Use,,3.4,4209,Overall,All Races,Age 20 and Older
11,2019,Ohio,Smokeless Tobacco Use (Adults),User Status,Current,1.4,7547,Female,All Races,All Ages
12,2019,Massachusetts,Cigarette Use (Adults),Smoking Frequency,Every Day,69.3,828,Overall,All Races,All Ages
13,2019,North Carolina,Cigarette Use (Adults),Smoking Status,Current,20.7,1909,Male,All Races,All Ages
14,2019,Guam,Cigarette Use (Adults),Smoking Frequency,Some Days,28.4,236,Male,All Races,All Ages
15,2019,Missouri,Cigarette Use (Adults),Smoking Status,Former,26.6,7088,Overall,All Races,All Ages
16,2019,Kentucky,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,65.5,465,Overall,All Races,All Ages
17,2019,Minnesota,Cigarette Use (Adults),Current Smoking,,9.2,1129,Overall,All Races,18 to 24 Years
